"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0W170","2019-10-10 00:00:00","42.000","43.000","2.700","23.800","0.720","1010.600","","0.000","-99.000","-99.000","-99.000","24.300","","22.200",""
"C0Z150","2019-10-10 00:00:00","27.000","243.000","2.400","23.000","0.990","1013.100","","3.000","-99.000","-99.000","-99.000","27.200","","21.600",""
"C0V400","2019-10-10 00:00:00","56.000","98.000","1.200","26.400","0.870","1006.700","","0.000","-99.000","-99.000","-99.000","30.500","","25.100",""
"C0M800","2019-10-10 00:00:00","440.000","64.000","0.600","22.300","0.920","965.400","","0.000","-99.000","-99.000","-99.000","29.700","","22.000",""
"C0A570","2019-10-10 00:00:00","360.000","0.000","0.000","19.700","0.980","975.800","","2.000","-99.000","-99.000","-99.000","23.600","","19.700",""
"C0S790","2019-10-10 00:00:00","236.000","360.000","0.700","22.200","0.910","989.700","","0.500","-99.000","-99.000","-99.000","27.300","","21.100",""
"C0D590","2019-10-10 00:00:00","143.000","51.000","2.700","22.900","0.810","999.100","","0.000","-99.000","-99.000","-99.000","29.600","","22.700",""
"C0U990","2019-10-10 00:00:00","31.000","264.000","1.500","22.300","0.920","1013.400","","22.500","-99.000","-99.000","-99.000","25.200","","20.900",""
"C0M700","2019-10-10 00:00:00","150.000","91.000","1.000","24.800","0.830","997.400","","0.000","-99.000","-99.000","-99.000","30.800","","24.400",""
"C0A970","2019-10-10 00:00:00","96.000","18.000","4.600","23.600","0.850","1005.800","","0.000","-99.000","-99.000","-99.000","27.900","","23.400",""
"CM0110","2019-10-10 00:00:00","7.000","54.000","1.800","25.000","0.720","1013.100","","0.000","-99.000","-99.000","-99.000","30.300","","24.200",""
"C0S940","2019-10-10 00:00:00","150.000","358.000","1.100","22.100","0.950","997.900","","0.500","-99.000","-99.000","-99.000","27.200","","21.900",""
"C0X250","2019-10-10 00:00:00","33.000","161.000","1.600","26.600","0.840","1009.800","","0.000","-99.000","-99.000","-99.000","31.000","","26.000",""
"C0K520","2019-10-10 00:00:00","10.000","36.000","1.300","25.200","0.790","1011.600","","0.000","-99.000","-99.000","-99.000","30.600","","24.300",""
"C0Z200","2019-10-10 00:00:00","153.000","0.000","0.100","21.900","0.990","999.400","","4.000","-99.000","-99.000","-99.000","26.100","","19.900",""
"C0V740","2019-10-10 00:00:00","60.000","91.000","1.600","26.100","0.780","1008.000","","0.000","-99.000","-99.000","-99.000","31.400","","24.400",""
"C0V790","2019-10-10 00:00:00","410.000","14.000","2.100","22.300","0.980","967.500","","1.000","-99.000","-99.000","-99.000","30.800","","21.800",""
"C0G860","2019-10-10 00:00:00","45.000","0.000","0.000","26.200","0.810","1007.000","","0.000","-99.000","-99.000","-99.000","32.100","","25.800",""
"C0F0A0","2019-10-10 00:00:00","3587.000","95.000","2.600","5.800","0.610","666.200","","0.000","-99.000","-99.000","-99.000","11.700","","-0.100",""
"C0Z250","2019-10-10 00:00:00","1124.000","0.000","0.000","17.800","0.990","892.900","","0.500","-99.000","-99.000","-99.000","21.900","","15.100",""
"C0K440","2019-10-10 00:00:00","35.000","4.000","1.300","24.400","0.840","1009.900","","0.000","-99.000","-99.000","-99.000","30.900","","23.900",""
"C0T900","2019-10-10 00:00:00","160.000","0.000","0.000","21.900","0.940","996.100","","1.000","-99.000","-99.000","-99.000","26.900","","21.400",""
"C0F9V0","2019-10-10 00:00:00","525.000","179.000","1.900","23.800","0.850","956.700","","0.000","-99.000","-99.000","-99.000","29.500","","21.600",""
"C0UA20","2019-10-10 00:00:00","2619.000","210.000","1.800","8.700","1.000","-99.000","","0.000","-99.000","-99.000","-99.000","17.400","","8.000",""
"C0M850","2019-10-10 00:00:00","695.000","0.000","0.000","21.300","0.990","936.400","","1.000","-99.000","-99.000","-99.000","28.000","","20.900",""
"C0G790","2019-10-10 00:00:00","27.000","0.000","0.000","25.100","0.890","1012.500","","0.000","-99.000","-99.000","-99.000","33.200","","24.700",""
"C0C620","2019-10-10 00:00:00","19.000","62.000","1.100","23.100","0.800","1012.000","","0.000","-99.000","-99.000","-99.000","30.300","","22.900",""
"C0I360","2019-10-10 00:00:00","300.000","103.000","1.200","24.900","0.790","979.300","","0.000","-99.000","-99.000","-99.000","29.700","","23.300",""
"C0M810","2019-10-10 00:00:00","1354.000","126.000","0.600","17.200","0.980","868.300","","0.000","-99.000","-99.000","-99.000","21.200","","16.900",""
"C0AC80","2019-10-10 00:00:00","40.000","84.000","1.200","22.900","0.830","1010.900","","1.000","-99.000","-99.000","-99.000","27.200","","22.700",""
"CM0140","2019-10-10 00:00:00","26.000","24.000","1.700","24.400","0.780","1012.600","","0.500","-99.000","-99.000","-99.000","29.000","","23.600",""
"C0SA20","2019-10-10 00:00:00","857.000","10.000","1.600","18.600","1.000","920.300","","6.000","-99.000","-99.000","-99.000","21.500","","17.900",""
"C0K490","2019-10-10 00:00:00","91.000","171.000","0.500","25.500","0.840","1003.000","","0.000","-99.000","-99.000","-99.000","31.000","","25.000",""
"C0V820","2019-10-10 00:00:00","441.000","27.000","0.700","22.100","0.990","966.800","","4.500","-99.000","-99.000","-99.000","30.500","","21.600",""
"C0S810","2019-10-10 00:00:00","65.000","13.000","1.000","23.800","0.860","1010.100","","0.000","-99.000","-99.000","-99.000","30.600","","21.300",""
"C0R580","2019-10-10 00:00:00","10.000","335.000","2.300","25.800","0.860","1012.400","","0.000","-99.000","-99.000","-99.000","30.000","","23.800",""
"C0Z330","2019-10-10 00:00:00","488.000","341.000","1.200","20.500","0.990","962.400","","1.000","-99.000","-99.000","-99.000","25.200","","19.200",""
"C0E590","2019-10-10 00:00:00","40.000","37.000","0.500","23.100","0.850","1008.600","","0.000","-99.000","-99.000","-99.000","31.200","","22.000",""
"C0D540","2019-10-10 00:00:00","227.000","47.000","0.400","21.100","0.900","989.600","","0.000","-99.000","-99.000","-99.000","29.200","","20.600",""
"C0K420","2019-10-10 00:00:00","42.000","354.000","0.700","25.100","0.800","1008.800","","0.000","-99.000","-99.000","-99.000","31.600","","24.400",""
"C0Z180","2019-10-10 00:00:00","34.000","251.000","0.500","24.300","0.840","1011.700","","1.000","-99.000","-99.000","-99.000","26.900","","21.800",""
"C0AD10","2019-10-10 00:00:00","27.000","65.000","0.700","23.900","0.720","1012.200","","0.000","-99.000","-99.000","-99.000","29.300","","23.800",""
"C0M720","2019-10-10 00:00:00","225.000","0.000","0.000","24.500","0.860","988.100","","0.000","-99.000","-99.000","-99.000","29.300","","24.500",""
"C0V450","2019-10-10 00:00:00","51.000","8.000","2.900","24.400","0.990","1007.700","","19.500","-99.000","-99.000","-99.000","30.400","","23.100",""
"C0R280","2019-10-10 00:00:00","242.000","61.000","1.400","22.300","-99.000","986.900","","3.000","-99.000","-99.000","-99.000","25.700","","22.200",""
"C0E610","2019-10-10 00:00:00","850.000","0.000","0.000","21.200","0.750","921.300","","0.000","-99.000","-99.000","-99.000","25.300","","20.200",""
"C0V610","2019-10-10 00:00:00","22.000","258.000","1.200","27.900","0.790","1011.000","","0.000","-99.000","-99.000","-99.000","30.000","","25.600",""
"C0Z310","2019-10-10 00:00:00","59.000","332.000","0.700","23.200","0.990","1009.400","","0.500","-99.000","-99.000","-99.000","27.000","","22.200",""
"C0S700","2019-10-10 00:00:00","507.000","87.000","0.300","20.700","0.970","959.500","","0.000","-99.000","-99.000","-99.000","25.500","","19.200",""
"C0T9G0","2019-10-10 00:00:00","605.000","44.000","1.400","19.400","0.990","950.100","","3.000","-99.000","-99.000","-99.000","23.000","","19.400",""
"C0U520","2019-10-10 00:00:00","517.000","0.000","0.000","19.500","0.990","960.700","","19.000","-99.000","-99.000","-99.000","21.500","","18.900",""
"C0E750","2019-10-10 00:00:00","62.000","51.000","1.500","24.300","0.740","1005.600","","0.000","-99.000","-99.000","-99.000","31.100","","23.400",""
"C0G660","2019-10-10 00:00:00","27.000","17.000","0.300","25.100","0.770","1012.000","","0.000","-99.000","-99.000","-99.000","33.300","","24.200",""
"C0W140","2019-10-10 00:00:00","21.000","31.000","3.200","24.400","0.780","1013.800","","0.000","-99.000","-99.000","-99.000","29.400","","24.400",""
"C0U720","2019-10-10 00:00:00","1260.000","19.000","0.500","16.700","0.990","890.200","","1.500","-99.000","-99.000","-99.000","20.600","","14.700",""
"C0R690","2019-10-10 00:00:00","248.000","29.000","1.000","22.400","-99.000","985.500","","0.500","-99.000","-99.000","-99.000","27.400","","22.400",""
"C0X150","2019-10-10 00:00:00","18.000","146.000","1.400","27.600","0.810","1012.700","","0.000","-99.000","-99.000","-99.000","31.800","","26.700",""
"C0Z050","2019-10-10 00:00:00","830.000","0.000","0.000","19.000","0.980","925.700","","0.000","-99.000","-99.000","-99.000","22.600","","16.800",""
"C0I490","2019-10-10 00:00:00","1601.000","236.000","1.300","16.000","0.990","844.400","","0.000","-99.000","-99.000","-99.000","22.900","","15.100",""
"C0I090","2019-10-10 00:00:00","910.000","113.000","0.300","20.800","0.850","915.100","","0.000","-99.000","-99.000","-99.000","25.700","","19.700",""
"C0X240","2019-10-10 00:00:00","394.000","205.000","0.300","22.600","0.890","970.300","","0.000","-99.000","-99.000","-99.000","29.000","","22.400",""
"C0S990","2019-10-10 00:00:00","409.000","15.000","3.500","21.700","0.960","969.400","","3.000","-99.000","-99.000","-99.000","25.000","","21.400",""
"C0E850","2019-10-10 00:00:00","104.000","0.000","0.000","22.800","0.900","1002.000","","0.000","-99.000","-99.000","-99.000","30.400","","21.200",""
"C0T9B0","2019-10-10 00:00:00","558.000","0.000","0.000","20.400","0.960","954.300","","1.500","-99.000","-99.000","-99.000","23.400","","19.700",""
"C0G650","2019-10-10 00:00:00","34.000","0.000","0.000","25.400","0.990","1009.700","","0.000","-99.000","-99.000","-99.000","32.400","","24.900",""
"C0K580","2019-10-10 00:00:00","26.000","356.000","0.700","24.900","0.850","1011.800","","0.000","-99.000","-99.000","-99.000","32.100","","24.500",""
"C0X050","2019-10-10 00:00:00","25.000","179.000","0.900","26.000","0.870","1009.600","","0.000","-99.000","-99.000","-99.000","32.500","","24.700",""
"CM0100","2019-10-10 00:00:00","25.000","70.000","2.100","24.600","0.690","1011.600","","0.000","-99.000","-99.000","-99.000","29.600","","24.600",""
"C0AC70","2019-10-10 00:00:00","71.000","77.000","1.700","24.000","0.740","1007.700","","2.000","-99.000","-99.000","-99.000","27.500","","23.800",""
"CM0130","2019-10-10 00:00:00","11.000","74.000","0.500","27.200","0.760","1013.000","","0.000","-99.000","-99.000","-99.000","29.200","","26.900",""
"C0UA00","2019-10-10 00:00:00","392.000","0.000","0.000","20.200","-99.000","972.800","","1.500","-99.000","-99.000","-99.000","21.700","","18.500",""
"C0I080","2019-10-10 00:00:00","536.000","254.000","0.300","22.500","0.880","957.100","","0.000","-99.000","-99.000","-99.000","29.700","","20.900",""
"C0UA30","2019-10-10 00:00:00","1397.000","0.000","0.000","15.700","1.000","864.100","","3.000","-99.000","-99.000","-99.000","17.200","","14.500",""
"C0Z270","2019-10-10 00:00:00","343.000","259.000","1.200","21.000","0.990","977.400","","17.000","-99.000","-99.000","-99.000","24.800","","20.600",""
"C0G750","2019-10-10 00:00:00","31.000","30.000","0.700","24.700","0.800","1011.000","","0.000","-99.000","-99.000","-99.000","31.100","","24.000",""
"C0A550","2019-10-10 00:00:00","422.000","0.000","0.000","19.200","1.000","969.500","","5.500","-99.000","-99.000","-99.000","23.400","","19.200",""
"C0G830","2019-10-10 00:00:00","27.000","0.000","0.100","24.400","1.000","1009.200","","0.000","-99.000","-99.000","-99.000","31.100","","23.800",""
"C0E810","2019-10-10 00:00:00","53.000","2.000","1.800","22.600","0.870","1008.200","","0.000","-99.000","-99.000","-99.000","31.600","","22.300",""
"C0R640","2019-10-10 00:00:00","21.000","66.000","1.600","27.300","0.800","1012.100","","0.000","-99.000","-99.000","-99.000","29.400","","25.400",""
"C0D580","2019-10-10 00:00:00","120.000","0.000","0.000","20.000","0.850","1000.400","","0.000","-99.000","-99.000","-99.000","28.400","","20.000",""
"C0M660","2019-10-10 00:00:00","40.000","301.000","1.100","25.300","0.860","1009.600","","0.000","-99.000","-99.000","-99.000","30.300","","25.100",""
"C0K330","2019-10-10 00:00:00","38.000","343.000","0.700","25.000","0.800","1009.000","","0.000","-99.000","-99.000","-99.000","31.700","","24.700",""
"C0E830","2019-10-10 00:00:00","37.000","31.000","2.000","24.700","0.770","1009.400","","0.000","-99.000","-99.000","-99.000","29.800","","24.000",""
"C0R420","2019-10-10 00:00:00","504.000","102.000","3.000","20.100","-99.000","953.500","","5.000","-99.000","-99.000","-99.000","22.800","","20.100",""
"C0X290","2019-10-10 00:00:00","10.000","91.000","1.100","26.300","0.860","1012.300","","0.000","-99.000","-99.000","-99.000","30.000","","26.000",""
"C0U760","2019-10-10 00:00:00","22.000","0.000","0.000","22.600","0.990","1014.800","","37.500","-99.000","-99.000","-99.000","24.400","","21.400",""
"C0U780","2019-10-10 00:00:00","15.000","272.000","0.700","23.000","0.910","1014.800","","18.500","-99.000","-99.000","-99.000","25.300","","20.500",""
"C0H9C0","2019-10-10 00:00:00","3402.000","335.000","1.100","4.000","0.890","679.000","","0.000","-99.000","-99.000","-99.000","19.400","","4.000",""
"C0V650","2019-10-10 00:00:00","28.000","254.000","1.700","27.400","0.770","1012.300","","0.000","-99.000","-99.000","-99.000","29.800","","25.500",""
"C0R720","2019-10-10 00:00:00","214.000","-99.000","-99.000","-99.000","-99.000","-99.000","","3.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0K470","2019-10-10 00:00:00","97.000","0.000","0.000","25.500","0.930","1002.500","","0.000","-99.000","-99.000","-99.000","31.200","","24.400",""
"C0T9N0","2019-10-10 00:00:00","261.000","24.000","0.700","21.500","0.980","986.300","","0.000","-99.000","-99.000","-99.000","26.100","","20.400",""
"CM0180","2019-10-10 00:00:00","313.000","0.000","0.000","21.700","0.990","979.400","","1.500","-99.000","-99.000","-99.000","31.400","","20.800",""
"C0Z070","2019-10-10 00:00:00","247.000","355.000","1.100","21.200","0.990","987.700","","1.500","-99.000","-99.000","-99.000","25.700","","19.900",""
"C0Z280","2019-10-10 00:00:00","224.000","298.000","0.700","21.700","0.990","991.700","","1.500","-99.000","-99.000","-99.000","27.500","","20.000",""
"C0SA40","2019-10-10 00:00:00","200.000","333.000","0.600","22.600","0.910","993.000","","0.000","-99.000","-99.000","-99.000","27.600","","20.600",""
"C0V440","2019-10-10 00:00:00","27.000","148.000","1.300","27.000","0.730","1010.100","","0.000","-99.000","-99.000","-99.000","31.500","","23.900",""
"C0R490","2019-10-10 00:00:00","49.000","0.000","0.000","25.500","0.920","1007.800","","1.500","-99.000","-99.000","-99.000","31.000","","24.600",""
"C1R340","2019-10-10 00:00:00","230.000","-99.000","-99.000","-99.000","0.980","-99.000","","1.500","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0B010","2019-10-10 00:00:00","38.000","91.000","1.600","23.400","0.810","1009.300","","0.500","-99.000","-99.000","-99.000","27.100","","23.400",""
"C0X230","2019-10-10 00:00:00","29.000","150.000","2.200","26.000","0.850","1011.500","","0.000","-99.000","-99.000","-99.000","30.200","","25.400",""
"C0S770","2019-10-10 00:00:00","375.000","345.000","0.500","21.700","0.950","972.700","","3.000","-99.000","-99.000","-99.000","24.900","","21.400",""
"C0H890","2019-10-10 00:00:00","440.000","214.000","0.700","23.200","0.950","964.200","","1.500","-99.000","-99.000","-99.000","29.900","","22.100",""
"C0K480","2019-10-10 00:00:00","56.000","338.000","0.300","25.100","0.860","1007.000","","0.000","-99.000","-99.000","-99.000","30.600","","24.600",""
"C0R540","2019-10-10 00:00:00","17.000","72.000","0.400","26.300","0.800","1011.400","","8.500","-99.000","-99.000","-99.000","29.900","","23.500",""
"C0Z160","2019-10-10 00:00:00","124.000","0.000","0.000","22.100","0.960","1002.700","","4.000","-99.000","-99.000","-99.000","26.600","","18.900",""
"C0AH50","2019-10-10 00:00:00","275.000","80.000","2.900","22.600","0.990","984.300","","0.000","-99.000","-99.000","-99.000","26.000","","22.300",""
"C0F850","2019-10-10 00:00:00","379.000","126.000","0.400","23.300","0.850","970.600","","0.000","-99.000","-99.000","-99.000","28.900","","21.700",""
"C0G800","2019-10-10 00:00:00","15.000","38.000","2.200","24.400","0.820","1011.600","","0.000","-99.000","-99.000","-99.000","32.200","","24.200",""
"C0U890","2019-10-10 00:00:00","116.000","277.000","1.800","22.300","0.990","1004.100","","8.000","-99.000","-99.000","-99.000","23.600","","20.100",""
"C0F860","2019-10-10 00:00:00","2215.000","0.000","0.200","13.100","1.000","783.800","","0.000","-99.000","-99.000","-99.000","21.300","","8.700",""
"CM0170","2019-10-10 00:00:00","106.000","101.000","1.800","24.600","0.880","1002.600","","0.000","-99.000","-99.000","-99.000","30.200","","24.000",""
"C0R270","2019-10-10 00:00:00","51.000","143.000","1.000","25.200","0.910","1006.900","","0.000","-99.000","-99.000","-99.000","31.900","","23.900",""
"C0O980","2019-10-10 00:00:00","18.000","148.000","0.800","25.700","0.890","1012.600","","0.000","-99.000","-99.000","-99.000","32.800","","24.500",""
"C0T9I0","2019-10-10 00:00:00","152.000","200.000","0.300","21.700","0.950","999.500","","10.000","-99.000","-99.000","-99.000","27.400","","20.700",""
"C0V760","2019-10-10 00:00:00","30.000","116.000","1.100","27.200","0.810","1010.900","","0.000","-99.000","-99.000","-99.000","31.800","","25.700",""
"C0AG90","2019-10-10 00:00:00","25.000","89.000","0.500","24.800","0.740","1013.400","","3.000","-99.000","-99.000","-99.000","28.800","","23.700",""
"C0R570","2019-10-10 00:00:00","37.000","4.000","1.100","26.600","0.810","1008.600","","0.000","-99.000","-99.000","-99.000","31.300","","25.000",""
"C0O900","2019-10-10 00:00:00","9.000","158.000","1.400","26.300","0.970","1012.800","","0.000","-99.000","-99.000","-99.000","31.700","","24.900",""
"C0AD00","2019-10-10 00:00:00","86.000","72.000","0.800","24.400","0.770","1006.400","","0.000","-99.000","-99.000","-99.000","27.600","","24.200",""
"C0V700","2019-10-10 00:00:00","24.000","245.000","2.800","27.600","0.790","1010.100","","0.000","-99.000","-99.000","-99.000","30.500","","26.600",""
"C0AH00","2019-10-10 00:00:00","38.000","31.000","1.800","24.300","0.770","1011.300","","0.000","-99.000","-99.000","-99.000","27.200","","24.300",""
"C0X190","2019-10-10 00:00:00","10.000","205.000","1.200","27.500","0.870","1011.900","","0.000","-99.000","-99.000","-99.000","30.700","","26.500",""
"C0S950","2019-10-10 00:00:00","415.000","22.000","0.500","21.900","0.920","968.000","","0.000","-99.000","-99.000","-99.000","26.000","","20.200",""
"C0A880","2019-10-10 00:00:00","6.000","0.000","0.000","22.100","0.880","1013.400","","0.000","-99.000","-99.000","-99.000","27.800","","22.100",""
"C0M670","2019-10-10 00:00:00","43.000","196.000","0.300","25.700","0.890","1008.200","","0.000","-99.000","-99.000","-99.000","31.100","","25.700",""
"C0Z061","2019-10-10 00:00:00","174.000","322.000","0.900","22.000","0.990","999.100","","0.000","-99.000","-99.000","-99.000","27.200","","19.800",""
"C0M730","2019-10-10 00:00:00","40.000","0.000","0.000","26.100","0.840","1008.400","","0.000","-99.000","-99.000","-99.000","32.500","","25.800",""
"C0U750","2019-10-10 00:00:00","398.000","40.000","2.600","20.600","0.910","970.600","","0.500","-99.000","-99.000","-99.000","22.800","","20.600",""
"C0A650","2019-10-10 00:00:00","287.000","0.000","0.000","20.000","0.990","983.800","","0.500","-99.000","-99.000","-99.000","25.400","","20.000",""
"C0K400","2019-10-10 00:00:00","65.000","204.000","0.900","26.200","0.990","1006.800","","0.000","-99.000","-99.000","-99.000","31.100","","25.300",""
"C0I370","2019-10-10 00:00:00","671.000","163.000","0.600","21.900","0.900","940.600","","0.500","-99.000","-99.000","-99.000","28.600","","20.300",""
"C0S750","2019-10-10 00:00:00","2280.000","267.000","0.800","10.000","1.000","776.300","","0.500","-99.000","-99.000","-99.000","19.800","","8.000",""
"C0R650","2019-10-10 00:00:00","29.000","16.000","0.700","26.100","0.850","1011.900","","0.000","-99.000","-99.000","-99.000","31.000","","23.900",""
"C0E740","2019-10-10 00:00:00","27.000","60.000","0.700","24.200","0.790","1010.600","","0.000","-99.000","-99.000","-99.000","31.500","","22.000",""
"C0AI20","2019-10-10 00:00:00","25.000","70.000","5.300","24.400","0.990","1012.800","","0.000","-99.000","-99.000","-99.000","26.300","","23.300",""
"C0E550","2019-10-10 00:00:00","84.000","110.000","0.900","23.100","0.930","1005.700","","0.000","-99.000","-99.000","-99.000","30.400","","21.600",""
"C0X060","2019-10-10 00:00:00","19.000","139.000","1.200","25.900","0.870","1013.000","","0.000","-99.000","-99.000","-99.000","31.900","","24.700",""
"C1R320","2019-10-10 00:00:00","7.000","-99.000","-99.000","-99.000","-99.000","-99.000","","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0R510","2019-10-10 00:00:00","31.000","237.000","0.700","27.100","0.790","1010.700","","0.000","-99.000","-99.000","-99.000","31.200","","24.900",""
"C0O970","2019-10-10 00:00:00","71.000","103.000","1.700","24.500","1.000","1006.200","","0.000","-99.000","-99.000","-99.000","32.200","","23.400",""
"C0AC60","2019-10-10 00:00:00","55.000","87.000","1.500","24.200","0.760","1008.800","","0.000","-99.000","-99.000","-99.000","29.800","","23.700",""
"C0UA70","2019-10-10 00:00:00","547.000","2.000","3.300","19.700","0.990","955.300","","1.500","-99.000","-99.000","-99.000","22.800","","19.400",""
"C0G740","2019-10-10 00:00:00","24.000","41.000","0.700","25.200","0.770","1011.100","","0.000","-99.000","-99.000","-99.000","30.400","","24.400",""
"C0F9N0","2019-10-10 00:00:00","75.000","179.000","0.900","26.900","0.750","1005.200","","0.000","-99.000","-99.000","-99.000","32.100","","25.900",""
"C0F9T0","2019-10-10 00:00:00","111.000","308.000","1.000","24.600","0.810","1001.100","","0.000","-99.000","-99.000","-99.000","30.900","","24.600",""
"C0S710","2019-10-10 00:00:00","382.000","16.000","1.800","20.500","0.950","973.200","","0.000","-99.000","-99.000","-99.000","24.800","","19.300",""
"C0M680","2019-10-10 00:00:00","37.000","0.000","0.000","25.900","0.870","1011.000","","0.000","-99.000","-99.000","-99.000","31.300","","25.200",""
"C0X220","2019-10-10 00:00:00","26.000","318.000","1.900","26.100","0.830","1010.500","","0.000","-99.000","-99.000","-99.000","29.900","","25.400",""
"C0R560","2019-10-10 00:00:00","22.000","313.000","0.400","25.200","0.890","1011.900","","9.000","-99.000","-99.000","-99.000","30.000","","24.700",""
"C0F9P0","2019-10-10 00:00:00","26.000","32.000","2.100","24.400","0.820","1011.400","","0.000","-99.000","-99.000","-99.000","30.500","","23.600",""
"C0K560","2019-10-10 00:00:00","117.000","120.000","0.400","24.500","0.940","1001.000","","1.500","-99.000","-99.000","-99.000","31.600","","24.500",""
"C0R150","2019-10-10 00:00:00","105.000","106.000","1.100","25.600","0.990","1000.900","","0.000","-99.000","-99.000","-99.000","31.200","","23.400",""
"C0S690","2019-10-10 00:00:00","522.000","21.000","0.600","21.000","0.950","956.200","","0.000","-99.000","-99.000","-99.000","27.300","","20.300",""
"C0U870","2019-10-10 00:00:00","474.000","0.000","0.000","19.600","0.930","963.600","","21.500","-99.000","-99.000","-99.000","21.700","","19.300",""
"C0A520","2019-10-10 00:00:00","48.000","68.000","3.000","24.500","0.760","1010.300","","0.500","-99.000","-99.000","-99.000","28.000","","23.100",""
"C0V500","2019-10-10 00:00:00","6.000","0.000","0.100","27.500","0.860","1011.500","","0.000","-99.000","-99.000","-99.000","31.200","","26.100",""
"CM0160","2019-10-10 00:00:00","159.000","128.000","0.700","24.600","0.890","-99.000","","0.500","-99.000","-99.000","-99.000","33.800","","23.400",""
"C0W120","2019-10-10 00:00:00","58.000","12.000","8.100","24.400","0.830","1007.700","","0.000","-99.000","-99.000","-99.000","26.900","","24.400",""
"C0R470","2019-10-10 00:00:00","103.000","351.000","1.200","24.800","0.960","1002.800","","0.500","-99.000","-99.000","-99.000","31.300","","23.500",""
"C0M770","2019-10-10 00:00:00","164.000","168.000","0.700","25.400","0.910","994.600","","0.000","-99.000","-99.000","-99.000","30.500","","25.100",""
"C0S930","2019-10-10 00:00:00","248.000","0.000","0.000","23.000","0.880","987.600","","0.000","-99.000","-99.000","-99.000","27.400","","20.800",""
"C0F9Y0","2019-10-10 00:00:00","3313.000","269.000","0.900","5.700","0.750","688.800","","0.000","-99.000","-99.000","-99.000","13.600","","5.200",""
"C0E790","2019-10-10 00:00:00","344.000","0.000","0.200","24.100","0.960","974.400","","0.000","-99.000","-99.000","-99.000","30.000","","22.500",""
"C0O810","2019-10-10 00:00:00","161.000","20.000","0.300","24.500","0.990","997.400","","0.000","-99.000","-99.000","-99.000","32.100","","23.900",""
"C0R520","2019-10-10 00:00:00","18.000","319.000","1.100","26.400","0.840","1011.800","","1.500","-99.000","-99.000","-99.000","31.000","","24.300",""
"C0G880","2019-10-10 00:00:00","92.000","0.000","0.000","25.600","0.850","1003.800","","0.000","-99.000","-99.000","-99.000","30.700","","25.000",""
"C0X270","2019-10-10 00:00:00","33.000","0.000","0.000","25.300","0.930","1010.600","","0.000","-99.000","-99.000","-99.000","32.800","","24.200",""
"C0R260","2019-10-10 00:00:00","76.000","0.000","0.000","23.700","0.990","1004.900","","16.000","-99.000","-99.000","-99.000","29.500","","22.400",""
"C0U950","2019-10-10 00:00:00","1012.000","16.000","5.100","15.800","1.000","905.600","","1.000","-99.000","-99.000","-99.000","18.400","","15.700",""
"C0O860","2019-10-10 00:00:00","38.000","135.000","1.500","26.400","0.950","1008.800","","0.000","-99.000","-99.000","-99.000","31.600","","25.300",""
"C0S980","2019-10-10 00:00:00","901.000","273.000","0.300","19.000","1.000","914.700","","22.500","-99.000","-99.000","-99.000","22.400","","17.100",""
"C0X110","2019-10-10 00:00:00","20.000","202.000","1.500","27.400","0.840","1011.500","","0.000","-99.000","-99.000","-99.000","30.900","","26.300",""
"C0G620","2019-10-10 00:00:00","110.000","203.000","1.000","24.200","0.920","1001.700","","0.000","-99.000","-99.000","-99.000","33.100","","23.700",""
"C0AD50","2019-10-10 00:00:00","84.000","72.000","3.500","23.900","0.870","1006.300","","0.000","-99.000","-99.000","-99.000","27.600","","22.800",""
"C0A9A0","2019-10-10 00:00:00","24.000","91.000","2.000","24.800","0.730","1013.100","","0.000","-99.000","-99.000","-99.000","28.200","","24.800",""
"C0O830","2019-10-10 00:00:00","127.000","114.000","0.500","24.400","0.980","999.800","","1.000","-99.000","-99.000","-99.000","32.600","","23.900",""
"C0S760","2019-10-10 00:00:00","1621.000","0.000","0.000","15.400","1.000","841.900","","0.000","-99.000","-99.000","-99.000","20.100","","12.500",""
"C0X160","2019-10-10 00:00:00","26.000","114.000","1.900","26.400","0.870","1011.000","","0.000","-99.000","-99.000","-99.000","30.900","","25.400",""
"C0C490","2019-10-10 00:00:00","157.000","69.000","1.900","23.900","0.770","997.000","","0.000","-99.000","-99.000","-99.000","29.600","","23.500",""
"C0F970","2019-10-10 00:00:00","145.000","33.000","0.300","25.400","0.770","996.300","","0.000","-99.000","-99.000","-99.000","30.800","","24.300",""
"C0M690","2019-10-10 00:00:00","33.000","232.000","0.800","25.600","0.880","1009.000","","0.000","-99.000","-99.000","-99.000","30.700","","25.100",""
"C0S840","2019-10-10 00:00:00","22.000","284.000","1.700","23.700","0.940","1014.000","","2.500","-99.000","-99.000","-99.000","28.900","","23.700",""
"C0W110","2019-10-10 00:00:00","16.000","37.000","3.100","23.900","0.740","1014.800","","0.000","-99.000","-99.000","-99.000","24.000","","23.000",""
"C0R670","2019-10-10 00:00:00","26.000","58.000","2.200","26.000","-99.000","1011.700","","0.000","-99.000","-99.000","-99.000","30.100","","25.000",""
